,bagfile_2020-11-21-15-35-25_x,bagfile_2020-11-21-15-35-25_y,bagfile_2020-11-21-15-35-25_z
0,-7.968062213765194,-19.98790058635217,6.091966415116097
1,-7.968097998928949,-19.987810140639585,6.092198491563082
2,-7.968133785455328,-19.9877196946446,6.092273658405705
3,-7.968171157292171,-19.987628845565293,6.092502024589633
4,-7.968208530575564,-19.987537996191016,6.092573480957527
5,-7.968247831437735,-19.9874466890508,6.092798210151192
6,-7.968287133824317,-19.987355381604218,6.092866029334443
7,-7.9683286945437715,-19.987263563860264,6.093087193199245
8,-7.968371648986234,-19.987171446170986,6.093291191360905
9,-7.968415916124733,-19.98707908435401,6.093508896841367
10,-7.968461241447582,-19.986986563758318,6.09370916367709
11,-7.968507844985647,-19.98689389797914,6.093923486127488
12,-7.968555473769424,-19.986801153875913,6.094120089807917
13,-7.968604344736909,-19.986708361858817,6.094331102921092
14,-7.968654206883517,-19.986615569926382,6.094524110121034
15,-7.968705273633435,-19.986522825559128,6.094731886224363
16,-7.968756857807972,-19.986430202555322,6.094849165726705
17,-7.968810137944192,-19.986337607898243,6.095053746845359
18,-7.968863870705379,-19.986244992539998,6.095166089523436
19,-7.968919333368049,-19.986152198547778,6.095367573478602
20,-7.968975241148816,-19.986059332045425,6.095475040263281
21,-7.969032909527741,-19.98596608200147,6.095673524245374
22,-7.969091014028632,-19.985872711986172,6.0957761742151595
23,-7.969151219063427,-19.98577858764903,6.096041400478794
24,-7.96921142450761,-19.98568446246942,6.096149707975894
25,-7.969273817570336,-19.985589434746007,6.0964137205678695
26,-7.969336211059088,-19.985494406162996,6.096520813639806
27,-7.969400740225995,-19.985398310754128,6.096783636966339
28,-7.969465269790537,-19.98530221446479,6.096889539882611
29,-7.96953188031331,-19.98520489284729,6.097151197850318
30,-7.969598491205957,-19.985107570331238,6.097255934566728
31,-7.969667125730932,-19.98500886992024,6.097516450591654
32,-7.969735254620022,-19.98491015987534,6.097619319485563
33,-7.969805326819744,-19.984810019728137,6.097877294628883
34,-7.969875399443693,-19.98470987910442,6.097978356312703
35,-7.969947318679314,-19.98460834905415,6.098233827389929
36,-7.97001923830744,-19.984506818543004,6.098332385342949
37,-7.970092911107398,-19.98440393750511,6.098585402882883
38,-7.970167103256235,-19.984301057775053,6.098682076697124
